City/Community,Zip Code
Agoura Hills,91301
Alhambra,91801
Arcadia,91006
Artesia,90701
Avalon (PO Boxes),90704
Azusa,91010
Baldwin Park,91706
Bell,90201
Bell Gardens,90201
Bellflower,90706
Beverly Hills,90210
Bradbury,91008
Burbank,91501
Calabasas,91302
Carson,90745
Cerritos,90703
Claremont,91711
"Commerce, City of",90040
Compton,90220
Covina,91722
Cudahy,90201
Culver City,90066
Diamond Bar,91765
Downey,90240
Duarte,91010
El Monte,91731
El Segundo,90245
Gardena,90247
Glendale,91201
Glendora,91740
Hawaiian Gardens,90716
Hawthorne (Holly Park),90250
Hermosa Beach,90254
Hidden Hills,91302
Huntington Park,90255
"Industry, City of",90601
Inglewood,90301
Irwindale,91010
La Cañada Flintridge,91011
La Habra Heights,90631
La Mirada,90638
La Puente,91744
La Verne,91750
Lakewood,90712
Lancaster,93534
Lawndale,90260
Lomita,90717
Long Beach,90802
Los Angeles (Downtown Historic Core),90014
Lynwood,90262
Malibu,90265
Manhattan Beach,90266
Maywood,90270
Monrovia,91010
Montebello,90640
Monterey Park,91754
Norwalk,90650
Palmdale,93550
Palos Verdes Estates,90274
Paramount,90723
Pasadena,91101
Pico Rivera,90660
Pomona,91767
Rancho Palos Verdes,90275
Redondo Beach,90277
Rolling Hills Estates,90275
"Rolling Hills Estates, Rolling Hills",90274
Rosemead,91770
San Dimas,91773
San Fernando,91340
San Gabriel,91775
San Marino,91108
Santa Clarita,91321
Santa Fe Springs,90670
Santa Monica,90402
Sierra Madre,91024
Signal Hill,90755
South El Monte,91733
South Gate,90280
South Pasadena,91030
Temple City,91780
Torrance,90277
Vernon,90058
Walnut,91789
West Covina,91790
West Hollywood,90046
Westlake Village,91361
Whittier,90601
